Job Class,Percentage
Management,6.1,https://thebestschools.org/careers/career-guide/management-careers/
Business and Financial operations,5,https://money.usnews.com/careers/best-jobs/rankings/best-business-jobs
Computer and Mathematical,2.7,https://www.computerscience.org/careers/
Architecture and Engineering,1.7,https://www.bls.gov/ooh/architecture-and-engineering/home.htm
"Life, Physical and Social Science",0.9,https://www.bls.gov/oes/current/oes190000.htm
Community and Social Service,1.6,https://www.worldwidelearn.com/guide-to/social-science/social-work-major/
Legal,0.8,https://www.thebalancecareers.com/legal-career-opportunities-2164281
"Education, training and library",6.1,https://www.thebalancecareers.com/teacher-career-information-526074
"Arts, design, entertainment, sports and media",1.7,https://www.bls.gov/oes/current/oes270000.htm
Healthcare practioners and technical,5.5,https://www.mightyrecruiter.com/job-descriptions/healthcare-practitioners-and-technical-worker/
Healthcare support,2.8,http://www.careers.org/occupations/field/31/healthcare-support
Protective service,2.3,https://www.bls.gov/oes/current/oes330000.htm#:~:text=Protective%20Service%20Occupations%20comprises%20the,Protective%20Service%20Workers%3B%20Firefighters%3B%20Fire
Food preparation and serving,8.3,https://careers.mcdonalds.com/us
Building and grounds cleaning and maintenance,3.7,https://www.bls.gov/oes/current/oes370000.htm
Personal care and service,4,https://collegegrad.com/careers/personal-care-and-service
Sales,10.2,https://money.usnews.com/careers/best-jobs/rankings/best-sales-and-marketing-jobs
Office and administrative support,15.1,https://collegegrad.com/careers/office-and-administrative-support
"Farming, fishing and forestry",0.6,https://www.bls.gov/ooh/farming-fishing-and-forestry/home.htm
Construction and extraction,4.3,https://datausa.io/profile/soc/construction-extraction-occupations#:~:text=Yearly%20Wage,-%2447%2C444&text=In%202019%2C%20Construction%20%26%20Extraction%20Occupations,average%20national%20salary%20of%20%2455%2C524.
"Installation, maintenance and repair",3.8,https://www.bls.gov/oes/current/oes490000.htm
Production,6.1,https://www.entertainmentcareers.net/reality-tv-film-production-jobs/jcat.asp?jcat=112
Transportation and material moving,6.5,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8
